Size,Colors,ID,Nodes Explored,Runtime,Solution
5,4,0,11,5,[3 2 0 1 3 2]
5,4,1,11,3,[3 2 0 3 1]
5,4,2,43,12,[3 2 0 3 1 2 0 3]
5,4,3,10,2,[0 3 1 2 0]
5,4,4,15,3,[2 0 2 3 1 2]
5,5,0,18,6,[1 3 0 2 4]
5,5,1,78,16,[4 1 3 2 1 0 4 2]
5,5,2,25,6,[4 3 1 4 2 3 0]
5,5,3,25,9,[2 0 3 1 4 0 2]
5,5,4,17,3,[0 2 3 1 3 0 4]
5,6,0,189,36,[1 3 1 4 5 2 0 1 3]
5,6,1,43,9,[5 3 2 5 0 4 3 1]
5,6,2,71,13,[2 1 0 4 0 4 2 3 5 1]
5,6,3,95,10,[3 2 4 0 5 3 1 2]
5,6,4,77,14,[0 1 4 5 2 0 3 1 4]
5,7,0,177,21,[0 2 6 3 4 1 5 2 0]
5,7,1,70,4,[2 5 4 2 6 1 3 0]
5,7,2,87,8,[2 6 5 0 1 3 6 5 2 4]
5,7,3,53,5,[6 0 1 6 4 3 0 2 5]
5,7,4,93,9,[0 4 6 3 5 0 2 3 1]
5,8,0,396,62,[6 3 1 0 5 4 3 2 7 6]
5,8,1,70,11,[6 4 5 6 2 3 7 0 4 1]
5,8,2,1007,137,[3 7 6 7 2 1 5 3 0 4]
5,8,3,158,18,[3 0 7 5 1 2 4 6 0 3]
5,8,4,551,520,[4 1 6 3 7 6 2 5 4 0 3]
10,4,0,49,91,[3 1 0 3 0 2 3 0 1 3 2]
10,4,1,166,100,[2 0 3 0 2 1 2 3 0 1 2]
10,4,2,102,62,[1 0 2 3 2 3 1 2 3 0 1]
10,4,3,46,33,[3 2 0 3 0 1 3 0 1 2 3]
10,4,4,31,16,[2 1 2 3 1 3 0 2 1 3]
10,5,0,1070,672,[3 0 4 3 2 3 1 4 2 3 2 1 2 4 0]
10,5,1,1567,1016,[1 2 0 4 3 1 0 1 3 0 4 2 3 0 1]
10,5,2,282,144,[1 4 0 3 1 3 2 1 0 2 4 3 1]
10,5,3,247,132,[3 0 4 2 4 2 0 3 0 1 4 3 2 0]
10,5,4,402,204,[1 4 1 2 1 4 2 3 4 1 3 2 0]
10,6,0,2694,2264,[1 4 0 4 0 1 2 1 4 2 3 1 2 4 5 0]
10,6,1,6828,5553,[3 1 2 5 3 2 5 3 4 2 5 3 2 1 4 5 0]
10,6,2,9662,7833,[5 4 2 4 3 0 2 4 5 0 3 2 1 4 0 5]
10,6,3,10044,8973,[2 3 0 5 1 2 3 1 0 3 2 1 4 0 5 3]
10,6,4,1308,1043,[4 5 3 1 0 3 2 5 4 1 3 4 0 2]
