Size, Colors, ID, Beam Size, Nodes Explored, Runtime, Solution,,,,
5,4,0,2,23,34, [3 2 0 3 2 1],,,num solved,56
5,4,1,2,13,1, [3 0 3 1 2],,,num tests,99
5,4,2,2,142,9, [3 2 0 3 0 1 2 3],,,percent solved,0.565656566
5,4,3,2,53,2, [3 0 2 3 0 1],,,,
5,4,4,2,23,1, [2 0 1 2 1 3],,,,
5,5,0,2,24,1, [1 3 0 4 2],,,,
5,5,1,2,200,9, [4 1 3 2 1 0 4 2],,,,
5,5,2,2,258,8, [4 3 1 4 0 3 2],,,,
5,5,3,2,284,6, [2 0 3 1 2 4 0],,,,
5,5,4,2,40,1, [0 2 3 1 4 3 0],,,,
5,6,0,2,3106,62, [4 2 1 5 4 0 2 3 1],,,,
5,6,1,2,979,19, [5 3 2 5 4 0 1 3],,,,
5,6,2,2,1307,36, [2 1 2 4 0 3 4 2 1 5],,,,
5,6,3,2,1047,10, [2 3 4 0 1 3 2 5],,,,
5,6,4,2,1476,19, [0 1 2 5 3 4 1 2 0],,,,
5,7,0,2,4144,63, [0 2 3 4 1 5 6 0 2],,,,
5,7,1,2,1145,11, [2 4 5 2 6 0 1 3],,,,
5,7,2,2,1663,25, [2 6 5 1 0 3 2 4 6 5],,,,
5,7,3,2,2025,35, [5 0 1 5 6 4 3 2 0],,,,
5,7,4,2,1166,13, [0 4 3 1 6 3 2 5 0],,,,
5,8,0,2,4704,76, [5 3 1 0 5 4 3 6 2 7],,,,
5,8,1,2,29712,425, [6 4 2 5 6 2 3 0 7 1 4],,,,
5,8,2,2,37314,504, [3 7 6 7 1 5 2 3 0 4],,,,
5,8,3,2,10964,160, [3 0 7 1 5 0 6 4 2 3],,,,
5,8,4,2,42670,532, [4 1 6 3 0 2 4 7 5 3 6],,,,
10,4,0,2,551,48, [3 1 2 0 3 1 3 1 0 3 2],,,,
10,4,1,2,1284,63, [0 3 0 1 3 2 0 1 0 3 2],,,,
10,4,2,2,216,10, [1 0 2 1 2 3 0 2 3 0 1],,,,
10,4,3,2,554,24, [3 2 0 3 0 1 3 0 3 1 2],,,,
10,4,4,2,178,8, [2 1 2 3 1 3 0 2 3 1],,,,
10,5,0,2,104895,5231, [3 2 4 1 2 4 2 0 1 3 2 1 0 3 4],,,,
10,5,1,2,80680,5824, [1 2 3 4 2 0 3 1 3 0 4 2 1 0 3],,,,
10,5,2,2,4091,323, [3 4 2 1 3 4 2 1 0 2 4 3 1],,,,
10,5,3,2,10203,558, [3 0 4 1 3 2 0 3 0 2 3 0 4 1],,,,
10,5,4,2,23692,1499, [1 4 1 2 0 3 1 4 3 2 4 1 0],,,,
10,6,0,2,342342,36041, [3 4 0 4 0 1 2 1 4 2 3 1 2 4 5 0],,,,
10,6,1,2, DNF, --, --,,,,
10,6,2,2,870610,78435, [5 4 2 0 1 2 5 0 2 4 0 4 2 3 1 5],,,,
10,6,3,2,997505,104500, [2 3 0 5 1 2 3 1 2 4 3 2 5 0 4 1],,,,
10,6,4,2,111069,11887, [5 2 0 3 5 0 1 2 0 3 5 4 2 1],,,,
10,7,0,2, DNF, --, --,,,,
10,7,1,2, DNF, --, --,,,,
10,7,2,2, DNF, --, --,,,,
10,7,3,2,1206745,160272, [3 0 2 5 3 1 6 4 2 0 6 5 3 2 1 4],,,,
10,7,4,2, DNF, --, --,,,,
10,8,0,2, DNF, --, --,,,,
10,8,1,2, DNF, --, --,,,,
10,8,2,2, DNF, --, --,,,,
10,8,3,2, DNF, --, --,,,,
10,8,4,2, DNF, --, --,,,,
15,4,0,2,41032,7076, [3 2 0 3 0 3 2 3 2 1 0 3 1 0 3 1 2],,,,
15,4,1,2,3043,412, [2 3 1 0 2 3 2 1 0 2 3 0 2 1],,,,
15,4,2,2,12349,1820, [1 3 2 1 3 0 1 3 2 0 3 2 1 3 0 2],,,,
15,4,3,2,3880,568, [3 2 3 1 3 1 0 2 1 3 0 2 3 0 1],,,,
15,4,4,2,108000,17861, [1 2 0 1 0 2 0 2 3 1 3 0 2 3 1 0 3 2],,,,
15,5,0,2, DNF, --, --,,,,
15,5,1,2,53636,12901, [1 4 3 0 2 4 3 0 2 1 3 0 2 4 1],,,,
15,5,2,2, DNF, --, --,,,,
15,5,3,2,416380,87342, [0 1 0 3 2 1 2 3 2 4 0 1 3 4 1 4 0 2],,,,
15,5,4,2,711348,129402, [3 2 1 3 1 0 4 0 2 0 3 4 1 2 4 0 2 1 3],,,,
15,6,0,2, DNF, --, --,,,,
15,6,1,2, DNF, --, --,,,,
15,6,2,2, DNF, --, --,,,,
15,6,3,2, DNF, --, --,,,,
15,6,4,2, DNF, --, --,,,,
15,7,0,2, DNF, --, --,,,,
15,7,1,2, DNF, --, --,,,,
15,7,2,2, DNF, --, --,,,,
15,7,3,2, DNF, --, --,,,,
20,4,0,2,309300,54844,Ê[2 1 3 2 1 2 1 2 3 2 0 2 1 2 0 1 2 0 1 3 2 0],,,,
20,4,1,2,101138,19549,Ê[1 2 1 3 2 3 1 2 1 2 3 1 0 3 0 2 0 3 0 2 1],,,,
20,4,2,2,11517,1995,Ê[1 2 0 1 2 1 3 0 2 3 2 1 3 0 2],,,,
20,4,3,2,45585,8664,Ê[0 1 0 1 2 1 2 0 2 1 3 0 1 3 0 2 1 0 3 2],,,,
20,4,4,2,28346,6273,Ê[1 0 1 3 2 0 2 0 2 0 2 1 2 0 2 1 0 3 1 2],,,,
