Size, Colors, ID, Beam Size, Nodes Explored, Runtime, Solution
5,4,0,4,18,4, [3 2 0 3 2 1]
5,4,1,4,13,1, [3 0 3 1 2]
5,4,2,4,30,3, [3 1 3 0 3 1 2 3]
5,4,3,4,15,1, [0 3 2 0 1]
5,4,4,4,17,1, [1 2 1 0 2 3]
5,5,0,4,16,1, [1 3 0 4 2]
5,5,1,4,28,1, [4 1 3 2 1 2 4 0]
5,5,2,4,34,2, [1 2 1 4 3 4 2 0]
5,5,3,4,48,2, [2 0 3 2 4 0 1]
5,5,4,4,36,2, [0 2 3 1 4 3 0]
5,6,0,4,83,5, [4 5 3 1 2 4 0 1 3]
5,6,1,4,60,1, [4 1 0 2 4 1 0 5 3]
5,6,2,4,50,2, [2 1 2 4 3 0 4 2 1 5]
5,6,3,4,73,1, [2 4 1 3 0 4 2 5]
5,6,4,4,61,1, [0 4 5 1 2 0 4 3 1]
5,7,0,4,116,3, [0 2 3 4 6 1 5 0 2]
5,7,1,4,43,0, [2 5 2 4 6 0 1 3]
5,7,2,4,83,2, [2 6 5 1 0 6 4 3 2 5]
5,7,3,4,46,1, [6 0 5 1 6 2 4 0 3]
5,7,4,4,71,2, [4 3 6 0 5 1 3 2 4]
5,8,0,4,252,14, [6 3 1 0 5 4 2 6 3 7]
5,8,1,4,37,1, [6 4 5 6 2 3 0 1 7 4]
5,8,2,4,669,15, [3 7 6 7 2 1 5 3 0 4]
5,8,3,4,329,6, [3 0 7 5 1 3 4 6 2 0]
5,8,4,4,1954,39, [4 1 6 3 7 2 6 4 5 0 3]
10,4,0,4,38,3, [3 1 0 3 0 1 3 1 0 3 2]
10,4,1,4,145,11, [3 1 0 1 3 2 1 0 1 3 2]
10,4,2,4,79,4, [1 0 2 1 0 3 0 2 3 0 1]
10,4,3,4,56,2, [3 2 0 2 0 1 3 0 1 3 2]
10,4,4,4,34,2, [2 1 2 3 1 3 0 2 3 1]
10,5,0,4,698,84, [3 2 4 3 2 4 1 3 4 1 2 3 1 4 0]
10,5,1,4,379,44, [1 2 3 4 2 0 1 3 0 1 4 2 3 0 1]
10,5,2,4,109,7, [3 4 2 1 3 4 2 1 0 2 4 3 1]
10,5,3,4,182,16, [0 4 3 4 1 3 2 4 0 2 3 0 4 1]
10,5,4,4,237,26, [1 2 1 2 3 1 2 3 4 1 0 2 3]
10,6,0,4,1806,215, [3 4 0 4 0 1 2 1 4 2 3 1 2 4 5 0]
10,6,1,4,2817,405, [3 5 2 5 0 2 5 3 4 3 5 2 3 4 1 5 0]
10,6,2,4,1529,258, [5 4 2 1 0 1 2 5 4 0 3 2 1 0 5 4]
10,6,3,4,2251,319, [2 3 0 5 2 1 3 0 4 1 5 3 0 1 4 2]
10,6,4,4,522,74, [5 3 0 2 3 4 1 0 5 1 4 3 0 2]
10,7,0,4,2844,434, [0 2 6 1 5 4 0 6 2 5 1 4 6 0 3]
10,7,1,4,7203,1345, [4 2 0 4 2 1 5 0 4 2 5 1 3 0 5 6]
